12TH AV 	200 - 299 	L ST - K ST 	Not Posted, NS Thu & SS Fri
ALEXANDRIA DR 	1250 - 1399 	LA PALOMA ST - POINT LOMA AV 	Not Posted, Both Sides Even Month 4th Wed
ALEXANDRIA DR 	1400 - 1461 	POINT LOMA AV - BERMUDA CR 	Not Posted, Both Sides Even Month 4th Wed
ALGE CIRAS ST 	0 - 0 	BEGIN - CORNISH DR 	Not Posted, Both Sides Even Month 4th Wed
ALGECIRAS ST 	4400 - 4499 	CORNISH DR - CORDOVA ST 	Not Posted, Both Sides Even Month 4th Wed
ALHAMBRA ST 	4400 - 4499 	NOVARA ST - GUIZOT ST 	Not Posted, Both Sides Even Month 4th Wed
ALHAMBRA ST 	4500 - 4599 	GUIZOT ST - FROUDE ST 	Not Posted, Both Sides Even Month 4th Wed
ALHAMBRA ST 	4600 - 4649 	FROUDE ST - DEVONSHIRE DR 	Not Posted, Both Sides Even Month 4th Wed
ALICIA DR 	3900 - 3999 	TENNYSON ST - WELLS ST 	Not Posted, Both Sides Even Month 4th Wed
ALICIA DR 	4000 - 4159 	WELLS ST - CATALINA BL 	Not Posted, Both Sides Even Month 4th Wed
ALTA BAHIA CT 	5300 - 5399 	BEGIN - CASTLE HILLS DR 	Not Posted, Both Sides Odd Month 3rd Wed
ALTA VISTA ST 	5100 - 5249 	LOS ALTOS RD - ALTA VISTA WY 	Not Posted, Both Sides Odd Month 3rd Wed
ALTA VISTA ST 	5250 - 5259 	ALTA VISTA WY - YOST DR 	Not Posted, Both Sides Odd Month 3rd Wed
ALTA VISTA ST 	5260 - 5299 	YOST DR - ARCHER ST 	Not Posted, Both Sides Odd Month 3rd Wed
ALTA VISTA WY 	1700 - 1729 	ALTA VISTA ST - CASSANDRA LN 	Not Posted, Both Sides Odd Month 3rd Wed
ALTA VISTA WY 	1730 - 1770 	CASSANDRA LN - SOLEDAD RD 	Not Posted, Both Sides Odd Month 3rd Wed
ALTO CERRO CR 	2400 - 2499 	BAJA CERRO CR - PACIFICA DR 	Not Posted, Both Sides Odd Month 3rd Wed
AMARYLLIS DR 	3600 - 3729 	LOTUS DR - OLEANDER PL 	Not Posted, Both Sides Odd Month 1st Wed
AMARYLLIS DR 	3730 - 3749 	OLEANDER PL - POINSETTIA DR 	Not Posted, Both Sides Odd Month 1st Wed
AMARYLLIS DR 	3750 - 3799 	POINSETTIA DR - NIPOMA ST 	Not Posted, Both Sides Odd Month 1st Wed
AMIFORD DR 	700 - 749 	BEGIN - CASITAS ST 	Not Posted, Both Sides Even Month 4th Wed
AMIFORD DR 	750 - 759 	CASITAS ST - STAFFORD PL 	Not Posted, Both Sides Even Month 4th Wed
AMIFORD DR 	760 - 899 	STAFFORD PL - MONACO ST 	Not Posted, Both Sides Even Month 4th Wed
AMIFORD DR 	900 - 999 	MONACO ST - HILL ST 	Not Posted, Both Sides Even Month 4th Wed
AMITY ST 	2300 - 2349 	MIDDLETON RD - PENDLETON ST 	Not Posted, Both Sides Odd Month 3rd Wed
AMITY ST 	2350 - 2399 	PENDLETON ST - CROTON CT 	Not Posted, Both Sides Odd Month 3rd Wed
AMITY ST 	2400 - 2499 	CROTON CT - PACIFICA DR 	Not Posted, Both Sides Odd Month 3rd Wed
ANCHORAGE LN 	1000 - 1099 	TALBOT ST - CANON ST 	Not Posted, Both Sides Even Month 4th Wed
ANNA AV 	5200 - 5249 	PACIFIC HY - END 	Not Posted, Both Sides Wed
ANNA AV 	5250 - 5299 	BEGIN - SHERMAN ST 	Not Posted, Both Sides Wed
APACHE AV 	3200 - 3299 	BEGIN - BLACKFOOT AV 	Not Posted, Both Sides Even Month 4th Thu
APACHE AV 	3300 - 3399 	BLACKFOOT AV - DAKOTA DR 	Not Posted, Both Sides Even Month 4th Thu
ARCHER ST 	1000 - 1099 	CASS ST - DAWES ST 	Not Posted, Both Sides Odd Month 4th Thu
ARCHER ST 	1100 - 1199 	DAWES ST - EVERTS ST 	Not Posted, Both Sides Odd Month 4th Thu
ARCHER ST 	1200 - 1299 	EVERTS ST - CARDENO DR 	Not Posted, Both Sides Odd Month 4th Thu
ARCHER ST 	1700 - 1779 	ALTA VISTA ST - SOLEDAD RD 	Not Posted, Both Sides Odd Month 3rd Wed
ARCHER ST 	700 - 799 	BEGIN - LA JOLLA MESA DR 	Not Posted, Both Sides Odd Month 4th Thu
ARCHER ST 	800 - 999 	LA JOLLA MESA DR - CASS ST 	Not Posted, Both Sides Odd Month 4th Thu
ARCOLA AV 	2700 - 2799 	BEGIN - ATWELL ST 	Not Posted, Both Sides Odd Month 3rd Tue
ARCOLA AV 	2800 - 2899 	ATWELL ST - JUTLAND DR 	Not Posted, Both Sides Odd Month 3rd Tue
ARCOLA AV 	2900 - 2999 	JUTLAND DR - END 	Not Posted, Both Sides Odd Month 3rd Tue
ARIANE DR 	2600 - 2799 	MORENA BL - LEATHERS ST 	Not Posted, Both Sides Odd Month 3rd Tue
ARIANE DR 	2800 - 2839 	LEATHERS ST - LISANN ST 	Not Posted, Both Sides Odd Month 3rd Tue
ARIANE DR 	2840 - 2879 	LISANN ST - ARIANE WY 	Not Posted, Both Sides Odd Month 3rd Tue
ARIANE DR 	2880 - 2999 	ARIANE WY - ABER ST 	Not Posted, Both Sides Odd Month 3rd Tue
ARIANE WY 	4520 - 4569 	BEGIN - ARIANE DR 	Not Posted, Both Sides Odd Month 3rd Tue
ARMADA TR 	700 - 849 	ROGERS ST - HARBOR VIEW PL 	Not Posted, Both Sides Even Month 4th Wed
ARMADA TR 	850 - 899 	HARBOR VIEW PL - BESSEMER ST 	Not Posted, Both Sides Odd Month 1st Wed
ARMADA TR 	900 - 999 	BESSEMER ST - TALBOT ST 	Not Posted, Both Sides Even Month 4th Wed
ARNOTT ST 	2500 - 2519 	KANE ST - POLA CT 	Not Posted, Both Sides Even Month 4th Thu
ARNOTT ST 	2520 - 2599 	POLA CT - JELLETT ST 	Not Posted, Both Sides Even Month 4th Thu
ARNOTT ST 	2600 - 2699 	JELLETT ST - HUXLEY ST 	Not Posted, Both Sides Even Month 4th Thu
ARNOTT ST 	2700 - 2899 	HUXLEY ST - FIELD ST 	Not Posted, Both Sides Even Month 4th Thu
ARROYO LINDO AV 	4900 - 4999 	HIDALGO AV - SUNLINE AV 	Not Posted, Both Sides Even Month 3rd Tue
ARROYO LINDO AV 	5000 - 5999 	SUNLINE AV - END 	Not Posted, Both Sides Even Month 3rd Tue
ASHER ST 	4100 - 4199 	MORENA BL - GOLDFIELD ST 	Not Posted, Both Sides Odd Month 1st Tue
ASHER ST 	4200 - 4299 	GOLDFIELD ST - LIETA ST 	Not Posted, Both Sides Odd Month 1st Tue
ASHER ST 	4300 - 4399 	LIETA ST - MORENCI ST 	Not Posted, Both Sides Odd Month 1st Tue
ASHER ST 	4400 - 4499 	MORENCI ST - FRANKFORT ST 	Not Posted, Both Sides Odd Month 1st Tue
ASHTON ST 	4100 - 4199 	MORENA BL - CHICAGO ST 	Not Posted, Both Sides Wed
ASHTON ST 	4200 - 4249 	CHICAGO ST - GOLDFIELD ST 	Not Posted, Both Sides Wed
ASHTON ST 	4250 - 4299 	GOLDFIELD ST - DENVER ST 	Not Posted, Both Sides Wed
ASHTON ST 	4300 - 4399 	DENVER ST - ERIE ST 	Not Posted, Both Sides Odd Month 3rd Tue
ASHTON ST 	4400 - 4499 	ERIE ST - FRANKFORT ST 	Not Posted, Both Sides Odd Month 3rd Tue
ASHTON ST 	4500 - 4599 	FRANKFORT ST - GALVESTON ST 	Not Posted, Both Sides Odd Month 3rd Tue
ASTER ST 	2400 - 2499 	BEGIN - RANDALL ST 	Not Posted, Both Sides Odd Month 3rd Wed
ASTER ST 	2500 - 2599 	SAN JOAQUIN DR - END 	Not Posted, Both Sides Odd Month 3rd Wed
ATARI CT 	3200 - 3299 	BEGIN - RAFFEE DR 	Not Posted, Both Sides Even Month 4th Thu
ATASCADERO DR 	3800 - 3999 	NIMITZ BL - WELLS ST 	Not Posted, Both Sides Even Month 4th Wed
ATASCADERO DR 	4000 - 4199 	WELLS ST - CATALINA BL 	Not Posted, Both Sides Even Month 4th Wed
ATWELL ST 	4400 - 4499 	ARCOLA AV - JUTLAND DR 	Not Posted, Both Sides Odd Month 3rd Tue
AUGUST CT 	2200 - 2299 	AUGUST ST - END 	Not Posted, Both Sides Odd Month 3rd Tue
AUGUST ST 	5000 - 5039 	MILTON ST - AUGUST CT 	Not Posted, Both Sides Odd Month 3rd Tue
AUGUST ST 	5040 - 5059 	AUGUST CT - BURGENER BL 	Not Posted, Both Sides Odd Month 3rd Tue
AUGUST ST 	5060 - 5099 	BURGENER BL - DEERPARK DR 	Not Posted, Both Sides Odd Month 3rd Tue
AUGUST ST 	5100 - 5149 	DEERPARK DR - COWLEY WY 	Not Posted, Both Sides Odd Month 3rd Tue
AVATI DR 	4000 - 4049 	MORENA BL - EICHENLAUB ST 	Not Posted, Both Sides Even Month 4th Thu
AVATI DR 	4050 - 4079 	EICHENLAUB ST - NORTH STAR DR 	Not Posted, Both Sides Even Month 4th Thu
AVATI DR 	4080 - 4099 	NORTH STAR DR - WHEAT ST 	Not Posted, Both Sides Even Month 4th Thu
AVATI DR 	4100 - 4209 	WHEAT ST - BRILLDEN CT 	Not Posted, Both Sides Even Month 4th Thu
AVATI DR 	4210 - 4239 	BRILLDEN CT - FRYDEN CT 	Not Posted, Both Sides Even Month 4th Thu
AVATI DR 	4240 - 4259 	FRYDEN CT - DRISCOLL DR 	Not Posted, Both Sides Even Month 4th Thu
AVATI DR 	4260 - 4279 	DRISCOLL DR - WAYNE LN 	Not Posted, Both Sides Even Month 4th Thu
AVATI DR 	4280 - 4299 	WAYNE LN - MORAGA CT 	Not Posted, Both Sides Even Month 4th Thu
AVNDA DE PORTUGAL 	2800 - 2899 	SHAFTER ST - SCOTT ST 	Not Posted, Both Sides Thu
AVNDA DE PORTUGAL 	2900 - 2999 	SCOTT ST - ROSECRANS ST 	Not Posted, Both Sides Thu
AVNDA DE PORTUGAL 	3000 - 3099 	ROSECRANS ST - LOCUST ST 	Not Posted, Both Sides Even Month 4th Wed
AVNDA DE PORTUGAL 	3100 - 3199 	LOCUST ST - EVERGREEN ST 	Not Posted, Both Sides Even Month 4th Wed
AVNDA DE PORTUGAL 	3200 - 3299 	EVERGREEN ST - WILLOW ST 	Not Posted, Both Sides Even Month 4th Wed
AVNDA DE PORTUGAL 	3300 - 3399 	WILLOW ST - END 	Not Posted, Both Sides Even Month 4th Wed
AZALEA DR 	2700 - 2729 	HYACINTH DR - WISTERIA DR 	Not Posted, Both Sides Odd Month 1st Wed
AZALEA DR 	2730 - 2761 	WISTERIA DR - END 	Not Posted, Both Sides Odd Month 1st Wed
AZUSA ST 	1100 - 1199 	GAINES ST - RILEY ST 	Not Posted, Both Sides Odd Month 1st Tue
AZUSA ST 	1200 - 1249 	RILEY ST - LAURETTA ST 	Not Posted, Both Sides Odd Month 1st Tue
AZUSA ST 	1250 - 1299 	LAURETTA ST - MILDRED ST 	Not Posted, Both Sides Odd Month 1st Tue
BACON ST 	1650 - 1699 	CORONADO AV - SANTA CRUZ AV 	Not Posted, Both Sides 1st Wed
BACON ST 	1700 - 1749 	SANTA CRUZ AV - DEL MONTE AV 	Not Posted, Both Sides 1st Wed
BACON ST 	1750 - 1799 	DEL MONTE AV - NARRAGANSETT AV 	Not Posted, Both Sides 1st Wed
BACON ST 	1800 - 1849 	NARRAGANSETT AV - NIAGARA AV 	Not Posted, Both Sides 1st Wed
BACON ST 	1850 - 1899 	NIAGARA AV - NEWPORT AV 	Posted (7am - 10am), WS 1st Wed, ES 1st Fri
BACON ST 	1900 - 1949 	NEWPORT AV - SANTA MONICA AV 	Posted (7am - 10am), WS 1st Wed, ES 1st Fri
BACON ST 	1950 - 1999 	SANTA MONICA AV - SARATOGA AV 	Posted (7am - 10am), WS Wed, ES Fri
BACON ST 	2000 - 2049 	SARATOGA AV - CAPE MAY AV 	Posted (7am - 10am), WS Wed, ES Fri
BACON ST 	2050 - 2099 	CAPE MAY AV - BRIGHTON AV 	Posted (7am - 10am), WS Wed, ES Fri
BACON ST 	2100 - 2129 	BRIGHTON AV - LONG BRANCH AV 	Posted (7am - 10am), WS Wed, ES Fri
BACON ST 	2130 - 2159 	LONG BRANCH AV - MUIR AV 	Posted (7am - 10am), WS Wed, ES Fri
BACON ST 	2160 - 2199 	MUIR AV - VOLTAIRE ST 	Posted (7am - 10am), WS Wed, ES Fri
BACON ST 	2200 - 2249 	VOLTAIRE ST - LOTUS ST 	Posted (7am - 10am), WS Wed, ES Fri
BACON ST 	2250 - 2299 	LOTUS ST - WEST POINT LOMA BL 	Posted (7am - 10am), WS Wed, ES Fri
BAJA CERRO CR 	2400 - 2499 	ALTO CERRO CR - PACIFICA DR 	Not Posted, Both Sides Odd Month 3rd Wed
BAKER ST 	3300 - 3399 	MORENA BL - MC GRAW ST 	Not Posted, Both Sides Even Month 4th Thu
BAKER ST 	3400 - 3499 	MC GRAW ST - LLOYD ST 	Not Posted, Both Sides Even Month 4th Thu
BAKER ST 	3500 - 3599 	LLOYD ST - BORRESON ST 	Not Posted, Both Sides Even Month 4th Thu
BAKER ST 	3600 - 3799 	BORRESON ST - CHICAGO ST 	Not Posted, Both Sides Even Month 4th Thu
BAKER ST 	3800 - 3899 	CHICAGO ST - SHAWNEE RD 	Not Posted, Both Sides Even Month 4th Thu
BALBOA AV 	1900 - 1999 	GRAND AV - MORRELL ST 	Not Posted, Both Sides Tue
BALBOA AV 	2000 - 2099 	MORRELL ST - NOYES ST 	Not Posted, Both Sides Tue
BALBOA AV 	2100 - 2199 	NOYES ST - OLNEY ST 	Not Posted, Both Sides Tue
BALBOA AV 	2200 - 2349 	OLNEY ST - GARNET AV 	Not Posted, Both Sides Tue
BALBOA AV 	3100 - 3279 	MORENA BL - MORENA BL RA 	Not Posted, Both Sides Tue
BALBOA AV 	3280 - 3399 	MORENA BL RA - MORAGA AV 	Not Posted, Both Sides Tue
BALBOA AV 	3400 - 4099 	MORAGA AV - BALBOA TR 	Not Posted, Both Sides Tue
BALBOA AV 	4100 - 4189 	BALBOA TR - MODOC ST 	Not Posted, Both Sides Tue
BALBOA AV 	4190 - 4199 	MODOC ST - CLAIREMONT DR 	Not Posted, Both Sides Tue
BALBOA TR 	3700 - 3749 	BALBOA AV - MONAIR DR 	Not Posted, Both Sides Even Month 4th Thu
BALBOA TR 	3750 - 3799 	MONAIR DR - END 	Not Posted, Both Sides Even Month 4th Thu
BALFOUR CT 	2100 - 2199 	EDGEWORTH RD - END 	Not Posted, Both Sides Odd Month 3rd Wed
BALTIMORE ST 	3300 - 3329 	CRETE ST - MACTIBBY ST 	Not Posted, Both Sides Even Month 4th Thu
BALTIMORE ST 	3330 - 3399 	MACTIBBY ST - CHICAGO ST 	Not Posted, Both Sides Even Month 4th Thu
BANDINI ST 	3600 - 3649 	PACIFIC (FTG) HY - KURTZ ST 	Not Posted, Both Sides Mon
BANGOR PL 	3400 - 3499 	BEGIN - BANGOR ST 	Not Posted, Both Sides Even Month 4th Wed
BANGOR ST 	1000 - 1029 	TALBOT ST - END 	Not Posted, Both Sides Even Month 4th Wed
BANGOR ST 	1050 - 1099 	HILL ST - TRUMBULL ST 	Not Posted, Both Sides Even Month 4th Wed
BANGOR ST 	1100 - 1149 	TRUMBULL ST - ULLMAN ST 	Not Posted, Both Sides Even Month 4th Wed
BANGOR ST 	1150 - 1199 	ULLMAN ST - VALEMONT ST 	Not Posted, Both Sides Even Month 4th Wed
BANGOR ST 	1200 - 1279 	VALEMONT ST - BANGOR PL 	Not Posted, Both Sides Even Month 4th Wed
BANGOR ST 	1280 - 1299 	BANGOR PL - CONCORD ST 	Not Posted, Both Sides Even Month 4th Wed
BANGOR ST 	700 - 759 	BEGIN - CHARLES ST 	Not Posted, Both Sides Even Month 4th Wed
BANGOR ST 	760 - 799 	CHARLES ST - GOLDEN PARK AV 	Not Posted, Both Sides Even Month 4th Wed
BANGOR ST 	800 - 849 	GOLDEN PARK AV - JENNINGS ST 	Not Posted, Both Sides Even Month 4th Wed
BANGOR ST 	850 - 869 	JENNINGS ST - LUCINDA ST 	Not Posted, Both Sides Even Month 4th Wed
BANGOR ST 	870 - 899 	LUCINDA ST - JOHN ST 	Not Posted, Both Sides Even Month 4th Wed
BANGOR ST 	900 - 919 	JOHN ST - HARBOR VIEW DR 	Not Posted, Both Sides Even Month 4th Wed
BANGOR ST 	920 - 959 	HARBOR VIEW DR - END 	Not Posted, Both Sides Even Month 4th Wed
BANKS ST 	5300 - 5399 	SHERMAN ST - GREENWOOD ST 	Not Posted, Both Sides Wed
BANNING ST 	4300 - 4399 	WHITTIER ST - MENDOCINO BL 	Not Posted, Both Sides 1st Wed
BARBY PL 	3000 - 3049 	HIDALGO AV - END 	Not Posted, Both Sides Even Month 3rd Tue
BARCELONA DR 	1000 - 1129 	OSPREY ST - CALAVERAS DR 	Not Posted, Both Sides Even Month 4th Wed
BARCELONA DR 	1130 - 1149 	CALAVERAS DR - OSPREY ST 	Not Posted, Both Sides Even Month 4th Wed
BARCELONA DR 	1150 - 1199 	OSPREY ST - ALEXANDRIA DR 	Not Posted, Both Sides Even Month 4th Wed
BARNARD ST 	2800 - 2999 	BOB ST - CHAPMAN ST 	Not Posted, Both Sides Odd Month 1st Wed
BARNARD ST 	3000 - 3099 	CHAPMAN ST - BASILONE ST 	Not Posted, Both Sides Odd Month 1st Wed
BARNARD ST 	3100 - 3199 	BASILONE ST - GROTON ST 	Not Posted, Both Sides Odd Month 1st Wed
BARNETT AV 	3000 - 3101 	LYTTON ST - TRUXTUN RD 	Not Posted, Both Sides Mon
BARNETT AV 	3102 - 3169 	MENDONCA DR - PELELIU WY 	Not Posted, Both Sides Mon
BARNETT AV 	3182 - 3239 	PELELIU WY - TUSCALOOSA ST 	Not Posted, Both Sides Mon
BARNETT AV 	3240 - 3299 	HENDERSON AV - MIDWAY DR 	Not Posted, Both Sides Mon
BARNETT AV 	3300 - 3549 	MIDWAY DR - JESSOP LN 	Not Posted, Both Sides Mon
BARNETT AV 	3550 - 3609 	JESSOP LN - PACIFIC HY SB ON RA 	Not Posted, Both Sides Mon
BARNETT AV 	3610 - 3699 	PACIFIC HY SB ON RA - PACIFIC HY NB OFF RA 	Not Posted, Both Sides Mon
BARROWS ST 	4300 - 4399 	DRISCOLL DR - COURSER AV 	Not Posted, Both Sides Odd Month 3rd Tue
BASILONE ST 	3800 - 3899 	GROTON WY - BARNARD ST 	Not Posted, Both Sides Odd Month 1st Wed
BAY CANYON CT 	2700 - 2799 	BEGIN - GESNER ST 	Not Posted, Both Sides Even Month 4th Thu
BAY CANYON CT 	2800 - 2849 	GESNER ST - END 	Not Posted, Both Sides Even Month 4th Thu
BAY SUMMIT PL 	4600 - 4699 	BEGIN - TESLA ST 	Not Posted, Both Sides Even Month 4th Thu
BAY SUMMIT PL 	4700 - 4749 	TESLA ST - END 	Not Posted, Both Sides Even Month 4th Thu
BAYARD ST 	4020 - 4099 	BRAEMAR LN - PACIFIC BEACH DR 	Posted (10am - 1pm), Both Sides 1st Thur
BAYARD ST 	4100 - 4199 	PACIFIC BEACH DR - OLIVER AV 	Posted (7am - 10am), WS 1st Thu, ES 1st Wed
BAYARD ST 	4200 - 4249 	OLIVER AV - REED AV 	Posted (7am - 10am), WS 1st Thu, ES 1st Wed
BAYARD ST 	4250 - 4299 	REED AV - THOMAS AV 	Posted (7am - 10am), WS 1st Thu, ES 1st Wed
BAYARD ST 	4300 - 4399 	THOMAS AV - GRAND AV 	Posted (7am - 10am), WS 1st Thu, ES 1st Wed
BAYARD ST 	4400 - 4449 	GRAND AV - HORNBLEND ST 	Posted (7am - 10am), WS 1st Thu, ES 1st Wed
BAYARD ST 	4450 - 4499 	HORNBLEND ST - GARNET AV 	Posted (7am - 10am), WS 1st Thu, ES 1st Wed
BAYARD ST 	4500 - 4599 	GARNET AV - FELSPAR ST 	Posted (7am - 10am), WS 1st Thu, ES 1st Wed
BAYARD ST 	4600 - 4649 	FELSPAR ST - EMERALD ST 	Posted (7am - 10am), WS 1st Thu, ES 1st Wed
BAYARD ST 	4650 - 4699 	EMERALD ST - DIAMOND ST 	Posted (7am - 10am), WS 1st Thu, ES 1st Wed
BAYARD ST 	4700 - 4749 	DIAMOND ST - MISSOURI ST 	Posted (7am - 10am), WS 1st Thu, ES 1st Wed
BAYARD ST 	4750 - 4799 	MISSOURI ST - CHALCEDONY ST 	Posted (7am - 10am), WS 1st Thu, ES 1st Wed
BAYARD ST 	4800 - 4849 	CHALCEDONY ST - LAW ST 	Posted (7am - 10am), WS 1st Thu, ES 1st Wed
BAYARD ST 	4850 - 4899 	LAW ST - BERYL ST 	Posted (7am - 10am), WS 1st Thu, ES 1st Wed
BAYARD ST 	4900 - 4949 	BERYL ST - WILBUR AV 	Posted (7am - 10am), WS 1st Thu, ES 1st Wed
BAYARD ST 	4950 - 4999 	WILBUR AV - LORING ST 	Posted (7am - 10am), WS 1st Thu, ES 1st Wed
BAYARD ST 	5000 - 5049 	LORING ST - OPAL ST 	Posted (7am - 10am), WS 1st Thu, ES 1st Wed
BAYARD ST 	5050 - 5099 	OPAL ST - TOURMALINE ST 	Posted (7am - 10am), WS 1st Thu, ES 1st Wed
BAYARD ST 	5100 - 5149 	TOURMALINE ST - SAPPHIRE ST 	Posted (7am - 10am), WS 1st Thu, ES 1st Wed
BAYARD ST 	5150 - 5199 	SAPPHIRE ST - TURQUOISE ST 	Posted (7am - 10am), WS 1st Thu, ES 1st Wed
BAYONNE DR 	3400 - 3499 	INGRAHAM ST - LA CIMA DR 	Posted (10am - 1pm), NS 1st Thu, SS 1st Wed
